level_0,address,address_norm,latitude,longitude,district,area,index
63347,"г. Москва, ул. Кантемировская, д. 53, корп. 1","г. москва, улица кантемировская, д. 53, корпус 1",55.63754,37.650981,район Царицыно,Южный административный округ,43541.0
63348,"г. Москва, ул. Донецкая, д. 30, корп. 1","г. москва, улица донецкая, д. 30, корпус 1",55.645476,37.707215,,,43542.0
63349,"г. Москва, ул. Россошанская, д. 4, корп. 1","г. москва, улица россошанская, д. 4, корпус 1",55.593253,37.611069,район Чертаново Южное,Южный административный округ,43543.0
63350,"г. Москва, ул. Дорожная, д. 32, корп. 1","г. москва, улица дорожная, д. 32, корпус 1",55.591004,37.611724,район Чертаново Южное,Южный административный округ,43544.0
63351,"г. Москва, ул. Приорова, д. 24, стр. 2","г. москва, улица приорова, д. 24, стр 2",55.822008,37.52254,район Коптево,Северный административный округ,43545.0
63352,"г. Москва, ул. Грайвороновская, д. 6, стр. 1","г. москва, улицаг. райвороновская, д. 6, стр 1",55.718512,37.727616,район Текстильщики,Юго-Восточный административный округ,43546.0
63353,"г. Москва, ул. Хорошёвское ш., д. 80","г. москва, улица хорошёвское шоссе, д. 80",55.778517,37.52289,Хорошёвский район,Северный административный округ,43547.0
63354,"г. Москва, ул. Профсоюзная, д. 104","г. москва, улица профсоюзная, д. 104",55.64192,37.523465,район Коньково,Юго-Западный административный округ,43548.0
63355,"г. Москва, ул. Мурановская, д. 5","г. москва, улица мурановская, д. 5",55.890956,37.596669,район Бибирево,Северо-Восточный административный округ,43549.0
63356,"г. Москва, ул. Береговой проезд, д. 7","г. москва, улица береговой проезд, д. 7",55.754942,37.505121,район Филёвский Парк,Западный административный округ,43550.0
63357,"г. Москва, ул. Пырьева, д. 9, корп. 3","г. москва, улица пырьева, д. 9, корпус 3",55.726781,37.52271,район Раменки,Западный административный округ,43551.0
63358,"г. Москва, ул. Маршала Тухачевского, д. 37/21","г. москва, улица маршала тухачевского, д. 37/21",55.784015,37.470985,район Хорошёво-Мнёвники,Северо-Западный административный округ,43552.0
63359,"г. Москва, ул. Ленинский пр-т, д. 107, корп. 1","г. москва, улица ленинский пр-т, д. 107, корпус 1",55.663705,37.514778,Обручевский район,Юго-Западный административный округ,43553.0
63360,"г. Москва, ул. Симферопольский б-р, 22","г. москва, улица симферопольский б-р, 22",55.648372,37.604735,район Зюзино,Юго-Западный административный округ,43554.0
63361,"г. Москва, ул. пр-т Мира, д. 105, стр. 1","г. москва, улица пр-т мира, д. 105, стр 1",55.81514,37.63747,Останкинский район,Северо-Восточный административный округ,43555.0
63362,"г. Москва, ул. Федеративный пр-т, д. 9, корп. 1","г. москва, улица федеративный пр-т, д. 9, корпус 1",55.756994,37.80197,район Перово,Восточный административный округ,43556.0
63363,"г. Москва, ул. Велозаводская, д. 13, стр. 2","г. москва, улица велозаводская, д. 13, стр 2",55.710743,37.669612,Южнопортовый район,Юго-Восточный административный округ,43557.0
63364,"г. Москва, ул. Ленинградское ш., д. 116","г. москва, улица ленинградское шоссе, д. 116",55.755819,37.617644,Тверской район,Центральный административный округ,43558.0
63365,"г. Москва, ул. Плющиха, 14","г. москва, улица плющиха, 14",55.74445,37.578594,район Хамовники,Центральный административный округ,43559.0
63366,"г. Москва, ул. Столетова, д. 19","г. москва, улица столетова, д. 19",55.702252,37.496453,район Раменки,Западный административный округ,43560.0
63367,"г. Москва, ул. Академика Туполева, набережная, 15, к. 29","г. москва, улица академика туполева, набережная, 15, корпус 29",55.761264,37.680248,Басманный район,Центральный административный округ,43561.0
63368,"г. Москва, ул. 2-Звенигородская, 13, стр.14","г. москва, улица 2-звенигородская, 13, стр14",55.761918,37.553792,Пресненский район,Центральный административный округ,43562.0
63369,"г. Москва, ул. Авиационная, д. 63","г. москва, улица авиационная, д. 63",55.809307,37.454968,район Щукино,Северо-Западный административный округ,43563.0
63370,"г. Москва, ул. Алабяна, д. 13, корп.1","г. москва, улица алабяна, д. 13, корпус1",55.799623,37.505076,район Сокол,Северный административный округ,43564.0
63371,"г. Королёв, ул. Ленинская, 14","г. королёв, улица ленинская, 14",55.927462,37.845008,микрорайон Юбилейный,,43565.0
63372,"г. Москва, ул. Главмосстроя, д. 7","г. москва, улицаг. лавмосстроя, д. 7",55.6543,37.406783,район Солнцево,Западный административный округ,43566.0
63373,"г. Москва, ул. Нагорный пр-д, д. 6, стр. 9","г. москва, улица нагорный проезд, д. 6, стр 9",55.687959,37.615012,Нагорный район,Южный административный округ,43567.0
63374,"г. Москва, ул. Ленинский пр-т, д. 137","г. москва, улица ленинский пр-т, д. 137",55.641478,37.476429,район Тёплый Стан,Юго-Западный административный округ,43568.0
63375,"г. Щелково, 1-й Советский пер., д. 25, пом.152","г. щелково, 1-й советский переулок, д. 25, пом.152",55.919559,38.008995,Ошибка,Ошибка,43569.0
63376,"г. Москва, ул. Новочерёмушкинская, д. 55, к. 2","г. москва, улица новочерёмушкинская, д. 55, корпус 2",55.670336,37.570034,район Черёмушки,Юго-Западный административный округ,43570.0
