driver_number,best_lap,avg_lap,avg_st_speed,max_st_speed,avg_i1_speed,avg_i2_speed,laps_count,session_key
20,93.356,94.71748387096775,300.2903225806452,322.0,295.82142857142856,251.19354838709677,32,9126
21,92.353,99.0465,299.78846153846155,334.0,286.5581395348837,242.55769230769232,52,9126
22,92.084,99.0074423076923,294.0,330.0,284.06976744186045,243.78846153846155,52,9126
23,91.273,98.75296153846155,297.61538461538464,330.0,286.9583333333333,245.96153846153845,52,9126
24,91.769,98.98049999999999,295.40384615384613,331.0,281.7142857142857,245.34615384615384,52,9126
27,91.776,98.92223076923077,293.61538461538464,328.0,283.725,243.25,52,9126
31,93.846,95.18633333333334,301.0,318.0,293.75,253.77777777777777,10,9126
44,90.545,98.54553846153847,289.7307692307692,323.0,276.89130434782606,245.69230769230768,52,9126
55,91.366,98.7831923076923,291.7692307692308,323.0,279.0975609756098,245.5,52,9126
63,91.124,98.62453846153845,295.11538461538464,324.0,283.15909090909093,250.75,52,9126
77,91.852,98.90584615384616,287.13461538461536,323.0,275.5405405405405,243.3846153846154,52,9126
81,90.85,98.55834615384614,290.7692307692308,322.0,280.06976744186045,247.3846153846154,52,9126
1,80.504,84.12815714285713,288.3207547169811,306.0,279.4107142857143,238.8,70,9133
2,83.496,86.41135820895522,296.6470588235294,311.0,275.0175438596491,234.26865671641792,68,9133
3,83.934,85.87328985507246,289.47058823529414,306.0,277.9347826086956,233.56521739130434,69,9133
4,82.178,84.61041428571428,289.54,305.0,280.6296296296296,241.1,70,9133
10,125.342,125.342,262.0,262.0,187.0,183.0,2,9133
11,82.295,84.66557142857143,295.6041666666667,313.0,279.42857142857144,237.9857142857143,70,9133
14,82.745,85.20967142857143,290.2608695652174,307.0,279.1320754716981,237.5142857142857,70,9133
16,82.469,85.06157142857144,292.1276595744681,310.0,278.11475409836066,237.54285714285714,70,9133
18,83.425,85.558,292.19565217391306,309.0,279.3636363636364,237.02898550724638,69,9133
20,83.864,86.53959420289856,293.1521739130435,310.0,275.41818181818184,234.05797101449275,69,9133
22,83.269,86.09310144927537,288.6470588235294,309.0,276.5,234.6231884057971,69,9133
23,84.051,85.76872463768116,292.4782608695652,311.0,271.66037735849056,235.1014492753623,69,9133
24,83.743,86.22442028985506,291.68518518518516,309.0,276.75,236.1304347826087,69,9133
27,83.573,86.09078260869565,292.2352941176471,309.0,278.1864406779661,233.17391304347825,69,9133
31,101.181,104.24600000000001,272.0,275.0,235.5,208.0,3,9133
44,81.601,84.68741428571428,287.9433962264151,311.0,271.4375,236.4857142857143,70,9133
55,82.584,85.14352857142858,292.46,307.0,276.07547169811323,236.5142857142857,70,9133
63,82.158,85.0673857142857,290.8965517241379,308.0,265.4927536231884,236.12857142857143,70,9133
77,83.651,85.78359420289856,295.0925925925926,309.0,277.7543859649123,236.2608695652174,69,9133
81,82.736,85.02217142857143,289.76363636363635,304.0,279.3448275862069,240.3,70,9133
1,108.922,112.51549999999999,293.2682926829268,308.0,310.43243243243245,191.8409090909091,44,9141
2,110.236,114.89327272727273,313.69444444444446,323.0,332.1025641025641,185.54545454545453,44,9141
3,110.994,114.86154545454546,306.94444444444446,317.0,322.3333333333333,185.45454545454547,44,9141
4,111.682,114.1940909090909,302.48571428571427,309.0,307.2894736842105,186.95454545454547,44,9141
10,110.911,114.40618181818182,308.8484848484849,319.0,322.1666666666667,182.04545454545453,44,9141
11,110.308,113.02359090909091,296.2926829268293,307.0,305.8536585365854,190.61363636363637,44,9141
14,110.938,113.79556818181818,304.969696969697,312.0,308.27027027027026,188.5909090909091,44,9141
16,110.436,113.25140909090909,302.8,310.0,305.35897435897436,190.75,44,9141
18,111.297,114.32188636363638,303.94444444444446,309.0,310.6666666666667,185.95454545454547,44,9141
20,110.993,114.82986363636364,307.41379310344826,314.0,315.77142857142854,182.97727272727272,44,9141
22,111.394,114.3414090909091,308.0,313.0,315.85,189.04545454545453,44,9141
23,109.841,114.70475,313.6388888888889,320.0,330.3170731707317,184.86363636363637,44,9141
24,110.188,114.68752272727274,311.225,319.0,323.76190476190476,187.0,44,9141
27,109.907,114.82860465116279,309.6969696969697,317.0,319.89473684210526,183.97727272727272,44,9141
