session_key,meeting_key,driver_number,position,number_of_laps,dnf,dns,dsq,gap_to_leader,best_time
9535,1238,31,9.0,18,False,False,False,"[0.548, 0.456, 0.742]",72.109
9535,1238,81,10.0,16,True,False,False,"[0.317, 0.358, None]",72.011
9535,1238,14,11.0,12,False,False,False,"[0.362, 0.475, None]",72.128
9535,1238,77,12.0,12,False,False,False,"[0.615, 0.574, None]",72.227
9535,1238,27,13.0,12,False,False,False,"[0.565, 0.657, None]",72.31
9535,1238,18,14.0,15,False,False,False,"[0.738, 0.719, None]",72.372
9535,1238,24,15.0,15,False,False,False,"[0.737, 1.085, None]",72.738
9535,1238,20,16.0,6,False,False,False,"[0.794, None, None]",72.937
9535,1238,22,17.0,9,False,False,False,"[0.842, None, None]",72.985
9535,1238,3,18.0,9,False,False,False,"[0.932, None, None]",73.075
9535,1238,23,19.0,6,False,False,False,"[1.01, None, None]",73.153
9535,1238,2,20.0,9,False,False,False,"[1.366, None, None]",73.509
9541,1239,1,1.0,18,False,False,False,"[0.073, 0.0, 0.0]",64.314
9541,1239,4,2.0,20,False,False,False,"[0.187, 0.634, 0.404]",64.718
9541,1239,63,3.0,18,False,False,False,"[0.322, 0.547, 0.526]",64.84
9541,1239,55,4.0,18,False,False,False,"[0.0, 0.547, 0.537]",64.851
9541,1239,44,5.0,18,False,False,False,"[0.278, 0.584, 0.589]",64.903
9541,1239,16,6.0,22,False,False,False,"[0.246, 0.635, 0.73]",65.044
9541,1239,81,7.0,17,False,False,False,"[0.048, 0.601, 0.734]",65.048
9541,1239,11,8.0,21,False,False,False,"[0.324, 0.675, 0.888]",65.144
9541,1239,27,9.0,21,False,False,False,"[0.333, 0.793, 1.071]",65.262
9541,1239,31,10.0,24,False,False,False,"[0.311, 0.805, 1.569]",65.274
9541,1239,3,11.0,15,False,False,False,"[0.306, 0.82, None]",65.289
9541,1239,20,12.0,15,False,False,False,"[0.245, 0.878, None]",65.347
9541,1239,10,13.0,18,False,False,False,"[0.335, 0.89, None]",65.359
9541,1239,22,14.0,15,False,False,False,"[0.3, 0.943, None]",65.412
9541,1239,14,15.0,15,False,False,False,"[0.393, 1.17, None]",65.639
9541,1239,23,16.0,9,False,False,False,"[0.473, None, None]",65.736
9541,1239,18,17.0,9,False,False,False,"[0.556, None, None]",65.819
9541,1239,77,18.0,9,False,False,False,"[0.584, None, None]",65.847
9541,1239,2,19.0,9,False,False,False,"[0.593, None, None]",65.856
9541,1239,24,20.0,9,False,False,False,"[0.798, None, None]",66.061
9554,1240,63,1.0,26,False,False,False,"[0.559, 0.164, 0.0]",85.819
9554,1240,44,2.0,25,False,False,False,"[0.0, 0.211, 0.171]",85.99
9554,1240,4,3.0,22,False,False,False,"[2.049, 0.0, 0.211]",86.03
9554,1240,1,4.0,24,False,False,False,"[1.795, 0.237, 0.384]",86.203
9554,1240,81,5.0,24,False,False,False,"[1.348, 0.174, 0.418]",86.237
9554,1240,27,6.0,17,False,False,False,"[2.382, 0.288, 0.519]",86.338
9554,1240,55,7.0,24,False,False,False,"[1.01, 0.284, 0.69]",86.509
9554,1240,18,8.0,24,False,False,False,"[1.863, 0.379, 0.766]",86.585
9554,1240,23,9.0,23,False,False,False,"[1.588, 0.374, 0.821]",86.64
9554,1240,14,10.0,24,False,False,False,"[1.717, 0.171, 1.098]",86.73
9554,1240,16,11.0,18,False,False,False,"[0.949, 0.538, None]",87.097
9554,1240,2,12.0,20,False,False,False,"[2.061, 0.616, None]",87.175
9554,1240,22,13.0,17,False,False,False,"[1.447, 0.71, None]",87.269
9554,1240,24,14.0,22,False,False,False,"[1.643, 1.308, None]",87.867
9554,1240,3,15.0,18,False,False,False,"[1.744, 1.39, None]",87.949
9554,1240,77,16.0,11,False,False,False,"[2.884, None, None]",92.431
9554,1240,20,17.0,6,False,False,False,"[3.358, None, None]",92.905
9554,1240,31,18.0,11,False,False,False,"[5.01, None, None]",94.557
9554,1240,11,19.0,5,False,False,False,"[8.801, None, None]",98.348
9554,1240,10,20.0,7,False,False,False,"[10.257, None, None]",99.804
9562,1241,4,1.0,22,False,False,False,"[0.705, 0.0, 0.0]",75.227
9562,1241,81,2.0,21,False,False,False,"[0.454, 0.245, 0.022]",75.249
9562,1241,1,3.0,21,False,False,False,"[0.037, 0.23, 0.046]",75.273
9562,1241,55,4.0,26,False,False,False,"[0.194, 0.345, 0.469]",75.696
9562,1241,44,5.0,24,False,False,False,"[0.037, 0.767, 0.627]",75.854
9562,1241,16,6.0,22,False,False,False,"[0.387, 0.351, 0.678]",75.891
9562,1241,14,7.0,18,False,False,False,"[0.574, 0.577, 0.816]",76.043
9562,1241,18,8.0,22,False,False,False,"[0.355, 0.535, 1.017]",76.075
9562,1241,3,9.0,20,False,False,False,"[0.0, 0.662, 1.22]",76.202
9562,1241,22,10.0,20,False,False,False,"[0.386, 0.581, 1.25]",76.121
9562,1241,27,11.0,16,False,False,False,"[0.312, 0.777, None]",76.317
9562,1241,77,12.0,19,False,False,False,"[0.437, 0.844, None]",76.384
9562,1241,23,13.0,16,False,False,False,"[0.23, 0.889, None]",76.429
9562,1241,2,14.0,13,False,False,False,"[0.72, 1.003, None]",76.543
9562,1241,20,15.0,15,False,False,False,"[0.801, 1.008, None]",76.548
9562,1241,11,16.0,6,False,False,False,"[0.836, None, None]",77.886
9562,1241,63,17.0,9,False,False,False,"[0.918, None, None]",77.968
9562,1241,24,18.0,12,False,False,False,"[0.987, None, None]",78.037
9562,1241,31,19.0,6,False,False,False,"[0.999, None, None]",78.049
9562,1241,10,20.0,6,False,False,False,"[1.116, None, None]",78.166
9570,1242,1,1.0,21,False,False,False,"[0.103, 0.0, 0.0]",113.159
9570,1242,16,2.0,22,False,False,False,"[0.514, 0.356, 0.595]",113.754
9570,1242,11,3.0,21,False,False,False,"[0.304, 0.633, 0.606]",113.765
9570,1242,44,4.0,22,False,False,False,"[0.857, 0.2, 0.676]",113.835
9570,1242,4,5.0,24,False,False,False,"[0.747, 0.521, 0.822]",113.981
9570,1242,81,6.0,23,False,False,False,"[0.0, 0.299, 0.868]",114.027
9570,1242,63,7.0,22,False,False,False,"[0.518, 0.258, 1.025]",114.095
9570,1242,55,8.0,23,False,False,False,"[0.334, 0.275, 1.318]",114.112
9570,1242,14,9.0,23,False,False,False,"[0.654, 0.421, 1.606]",114.258
9570,1242,31,10.0,23,False,False,False,"[0.582, 0.623, 1.651]",114.46
9570,1242,23,11.0,16,False,False,False,"[0.887, 0.636, None]",114.473
9570,1242,10,12.0,17,False,False,False,"[0.076, 0.798, None]",114.635
9570,1242,3,13.0,14,False,False,False,"[0.616, 0.845, None]",114.682
9570,1242,77,14.0,17,False,False,False,"[0.696, 0.927, None]",114.764
9570,1242,18,15.0,17,False,False,False,"[1.237, 1.879, None]",115.716
9570,1242,27,16.0,9,False,False,False,"[1.473, None, None]",116.308
9570,1242,20,17.0,9,False,False,False,"[1.665, None, None]",116.5
9570,1242,22,18.0,8,False,False,False,"[1.758, None, None]",116.593
9570,1242,2,19.0,8,False,False,False,"[2.395, None, None]",117.23
9570,1242,24,20.0,9,False,False,False,"[2.94, None, None]",117.775
9578,1243,4,1.0,14,False,False,False,"[0.371, 0.0, 0.0]",69.673
9578,1243,1,2.0,14,False,False,False,"[0.387, 0.315, 0.356]",70.029
9578,1243,81,3.0,16,False,False,False,"[0.535, 0.009, 0.499]",70.172
9578,1243,63,4.0,18,False,False,False,"[0.043, 0.056, 0.571]",70.244
9578,1243,11,5.0,17,False,False,False,"[0.0, 0.182, 0.743]",70.416
9578,1243,16,6.0,24,False,False,False,"[0.364, 0.193, 0.909]",70.582
9578,1243,14,7.0,16,False,False,False,"[0.487, 0.349, 0.96]",70.633
9578,1243,23,,0,False,False,False,"[None, None, None]",
9578,1243,18,8.0,19,False,False,False,"[0.512, 0.165, 1.184]",70.661
9578,1243,10,9.0,20,False,False,False,"[0.712, 0.319, 1.304]",70.815
9578,1243,55,10.0,18,False,False,False,"[0.321, 0.418, None]",70.914
9578,1243,44,11.0,13,False,False,False,"[0.369, 0.452, None]",70.948
9578,1243,22,12.0,15,False,False,False,"[0.597, 0.459, None]",70.955
9578,1243,27,13.0,17,False,False,False,"[0.826, 0.719, None]",71.215
9578,1243,20,14.0,15,False,False,False,"[0.624, 0.799, None]",71.295
9578,1243,3,15.0,9,False,False,False,"[0.937, None, None]",71.943
9578,1243,31,16.0,9,False,False,False,"[0.989, None, None]",71.995
9578,1243,77,17.0,9,False,False,False,"[1.162, None, None]",72.168
9578,1243,24,18.0,9,False,False,False,"[2.255, None, None]",73.261
9586,1244,4,1.0,12,False,False,False,"[0.0, 0.086, 0.0]",79.327
9586,1244,81,2.0,19,False,False,False,"[0.165, 0.167, 0.109]",79.436
9586,1244,63,3.0,18,False,False,False,"[0.258, 0.236, 0.113]",79.44
9586,1244,16,4.0,21,False,False,False,"[0.163, 0.366, 0.134]",79.461
9586,1244,55,5.0,18,False,False,False,"[0.238, 0.158, 0.14]",79.467
9586,1244,44,6.0,18,False,False,False,"[0.566, 0.0, 0.186]",79.513
9586,1244,1,7.0,18,False,False,False,"[0.315, 0.021, 0.695]",79.662
9586,1244,11,8.0,17,False,False,False,"[0.687, 0.575, 0.735]",80.062
9586,1244,23,9.0,18,False,False,False,"[0.631, 0.673, 0.972]",80.299
9586,1244,27,10.0,18,False,False,False,"[0.87, 0.77, 1.012]",80.339
9586,1244,14,11.0,11,False,False,False,"[0.706, 0.78, None]",80.421
9586,1244,3,12.0,12,False,False,False,"[0.99, 0.838, None]",80.479
9586,1244,20,13.0,11,False,False,False,"[0.945, 1.057, None]",80.698
9586,1244,10,14.0,16,False,False,False,"[0.837, 1.097, None]",80.738
9586,1244,31,15.0,16,False,False,False,"[0.853, 1.125, None]",80.764
9586,1244,22,16.0,6,False,False,False,"[1.034, None, None]",80.945
9586,1244,18,17.0,6,False,False,False,"[1.102, None, None]",81.013
9586,1244,43,18.0,6,False,False,False,"[1.15, None, None]",81.061
9586,1244,77,19.0,6,False,False,False,"[1.19, None, None]",81.101
9586,1244,24,20.0,9,False,False,False,"[1.534, None, None]",81.445
9594,1245,16,1.0,20,False,False,False,"[0.0, 0.014, 0.0]",101.365
9594,1245,81,2.0,19,False,False,False,"[0.258, 0.556, 0.321]",101.686
9594,1245,55,3.0,23,False,False,False,"[0.582, 0.461, 0.44]",101.805
9594,1245,11,4.0,15,False,False,False,"[0.438, 0.221, 0.448]",101.813
9594,1245,63,5.0,20,False,False,False,"[0.364, 0.287, 0.509]",101.874
9594,1245,1,6.0,20,False,False,False,"[0.322, 0.0, 0.658]",102.023
9594,1245,44,7.0,22,False,False,False,"[0.314, 0.723, 0.924]",102.289
9594,1245,14,8.0,19,False,False,False,"[0.697, 0.384, 1.004]",102.369
9594,1245,43,9.0,20,False,False,False,"[0.363, 0.431, 1.165]",102.473
9594,1245,23,10.0,19,False,False,False,"[0.124, 0.798, 1.494]",102.84
9594,1245,50,11.0,14,False,False,False,"[0.696, 0.926, None]",102.968
9594,1245,22,12.0,16,False,False,False,"[0.562, 0.993, None]",103.035
9594,1245,10,,0,False,False,False,"[None, None, None]",
9594,1245,27,13.0,14,False,False,False,"[0.326, 1.149, None]",103.101
9594,1245,18,14.0,14,False,False,False,"[0.595, 1.362, None]",103.37
9594,1245,3,15.0,9,False,False,False,"[0.772, None, None]",103.547
9594,1245,4,16.0,7,False,False,False,"[0.834, None, None]",103.609
9594,1245,77,17.0,7,False,False,False,"[0.843, None, None]",103.618
9594,1245,24,18.0,10,False,False,False,"[1.471, None, None]",104.246
9594,1245,31,19.0,8,False,False,False,"[1.729, None, None]",104.504
