,doctor_link,price,experience,rating,review_count,clinics_count,dist_center,spec,is_kids,is_adults,doctor_source,district,price_log
29404,https://docdoc.ru/doctor/Samigullina_Diana_3,4450.0,3.0,4.449686303222154,9.0,3.0,3.784723726560564,терапевт,False,True,Обе платформы,район Дорогомилово,8.400884069015854
29421,https://docdoc.ru/doctor/Samoilov_Aleksandr,3300.0,46.0,2.5637839424587963,21.0,3.0,6.959094447384428,акушер,False,True,Обе платформы,Алексеевский район,8.101980731853192
29432,https://docdoc.ru/doctor/Samoylova_Tatyana_3,5500.0,45.0,1.916174574248127,14.0,2.0,3.9478544595841485,акушер,False,True,Обе платформы,Басманный район,8.612685172875459
29435,https://docdoc.ru/doctor/Samorodova_Anna,3150.0,18.0,4.5406249999999995,1.0,3.0,3.8522029347350415,терапевт,False,True,Обе платформы,Южнопортовый район,8.055475141757274
29443,https://docdoc.ru/doctor/Samotolkin_Andrei,3000.0,38.0,2.1718750000000004,1.0,4.0,4.018500082972664,терапевт,False,True,Обе платформы,Таганский район,8.006700845440367
29447,https://prodoctorov.ru/moskva/vrach/763555-utisheva/,6500.0,,2.9863645490393664,19.0,1.0,5.044210358994886,гинеколог,False,True,ProDoctorov,,8.77971129020447
29448,https://docdoc.ru/doctor/Samokhvalova_Vera,4900.0,32.0,3.784708952420242,13.0,3.0,3.914106369092562,акушер,False,True,Обе платформы,,8.497194544909547
29450,https://docdoc.ru/doctor/Samohvalova_Tatyana_2,1750.0,45.0,3.897595876168925,32.0,1.0,15.040277848924164,акушер,False,True,Обе платформы,,7.467942332285852
29456,https://docdoc.ru/doctor/Samokhodskii_Evgenii,5550.0,42.0,4.77992428797639,380.0,2.0,6.7086113055624725,онколог,False,True,Обе платформы,Хорошёвский район,8.621733370690162
29457,https://prodoctorov.ru/moskva/vrach/241692-samoshkina/,3500.0,,3.455278624305547,12.0,3.0,18.76037536617694,акушер,False,True,ProDoctorov,,8.160803920954665
29461,https://docdoc.ru/doctor/Samsonov_Pavel,3300.0,7.0,4.165480195708827,13.0,3.0,1.8593091682859662,терапевт,False,True,Обе платформы,Мещанский район,8.101980731853192
29463,https://prodoctorov.ru/moskva/vrach/66056-revkova/,7000.0,,4.807999856153753,76.0,2.0,0.9700010774790734,онколог,False,True,ProDoctorov,,8.853808274977197
29465,https://docdoc.ru/doctor/Samsonova_Irina_12,8500.0,6.0,3.6373920528321633,6.0,4.0,1.2164790395630878,акушер,False,True,Обе платформы,район Замоскворечье,9.04793908261736
29467,https://docdoc.ru/doctor/Samsonova_Margarita_4,6500.0,3.0,4.924390398886047,20.0,2.0,9.397862240918464,эндокринолог,False,True,Обе платформы,район Раменки,8.77971129020447
29475,https://docdoc.ru/doctor/Samuelyan_Margarita,2200.0,14.0,4.4585303080882275,12.0,2.0,12.084885595331063,акушер,False,True,Обе платформы,район Покровское-Стрешнево,7.696667081526462
29478,https://docdoc.ru/doctor/Samuseva_Larisa,3500.0,,1.149847978411067,5.0,1.0,4.8371382110521415,акушер,False,True,Обе платформы,,8.160803920954665
29492,https://docdoc.ru/doctor/Sandakova_Elena,7500.0,47.0,3.4105704155086753,26.0,3.0,,гинеколог,False,True,Обе платформы,,8.922791623969637
29494,https://docdoc.ru/doctor/Sandzhi-Goryaeva_Natalya,2900.0,11.0,0.8133550195944677,4.0,2.0,6.5964578429813585,гинеколог,False,True,Обе платформы,Хорошёвский район,7.972810784121404
29498,https://docdoc.ru/doctor/Sandul_Galina,2650.0,46.0,4.747161533064185,35.0,4.0,18.03508682493213,рефлексотерапевт,False,True,Обе платформы,район Митино,7.8826922062890254
29503,https://docdoc.ru/doctor/Sanzhiev_Vitaliy,2500.0,13.0,3.649029472275768,25.0,4.0,4.441675613569121,онколог,False,True,Обе платформы,,7.824445930877619
29508,https://prodoctorov.ru/moskva/vrach/487754-voronina/,8000.0,,4.815519252353504,26.0,2.0,9.397862240918464,онколог,False,True,ProDoctorov,,8.987321812850125
29513,https://docdoc.ru/doctor/Sankina_Tatyana,2970.0,54.0,4.803721688310333,23.0,3.0,0.290742422032002,невролог,False,True,Обе платформы,Тверской район,7.9966538754626075
29529,https://docdoc.ru/doctor/Sapelnikova_Ekaterina,4450.0,18.0,4.27331232668151,32.0,2.0,6.7086113055624725,терапевт,False,True,Обе платформы,Хорошёвский район,8.400884069015854
